Comment,Designator,Footprint,LCSC Part #
0.1uF Unpolarized capacitor,"C1,C2,C4,C5,C6,C7,C8,C9,C10",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
100uF Polarized capacitor,C3,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,C16133
DIODE Diode,D1,D_SOD-123,C81598
74HC04 Hex Inverter,U1,SOIC-14_3.9x8.7mm_P1.27mm,C5586
"CY62256-70PC 256K (32K x 8) Static RAM, 70ns, DIP-28","U2,U4",TSOP-I-28_11.8x8mm_P0.55mm,C2759940
74HC00 quad 2-input NAND gate,U3,SOIC-14_3.9x8.7mm_P1.27mm,C10090
74HC688 8-bit magnitude comparator,U5,SOIC-20W_7.5x12.8mm_P1.27mm,C88042
74HC32 Quad 2-input OR,U6,SOIC-14_3.9x8.7mm_P1.27mm,C5632
"74HC173 4-bit D-type Register, 3 state out",U7,SOIC-16_3.9x9.9mm_P1.27mm,C546651
"74HC245 Octal BUS Transceivers, 3-State outputs",U8,SOIC-20W_7.5x12.8mm_P1.27mm,C5625
74HC157 Quad 2 to 1 line Multiplexer,U9,SOIC-16_3.9x9.9mm_P1.27mm,C5609
