Designator,Mid X,Mid Y,Layer,Rotation
C1,102.235,-57.912,top,180
C2,32.004,-79.7775,top,-90
C3,26.416,-83.058,top,90
C4,112.268,-57.912,top,180
C5,92.2697,-56.642,top,180
C6,66.12,-58.42,top,180
C7,43.18,-58.42,top,180
C8,122.2842,-57.912,top,180
C9,82.1475,-56.642,top,180
C10,108.204,-79.7775,top,-90
D1,26.416,-76.328,top,90
J3,26.416,-62.484,top,-90
U1,102.2745,-64.265,top,0
U2,43.18,-64.495,top,0
U3,122.2842,-64.265,top,0
U4,66.12,-64.495,top,0
U5,116.205,-79.58,top,90
U6,112.2793,-64.265,top,0
U7,92.2697,-63.645,top,0
U8,40.005,-79.58,top,90
U9,82.2648,-63.645,top,0
